origin,shape,carat_weight,color,clarity,cut,price
NATURAL,round,0.30,I,SI2,Excellent,407
NATURAL,pear,0.20,F,VS2,Excellent,302
NATURAL,round,0.30,K,IF,Excellent,373
NATURAL,round,0.30,D,SI3,Excellent,409
NATURAL,round,0.32,F,SI2,Excellent,396
NATURAL,emerald,0.30,F,SI1,Excellent,349
NATURAL,round,0.19,E,VS1,Excellent,408
NATURAL,round,0.18,D,VS1,Excellent,394
NATURAL,emerald,0.31,G,VVS2,Excellent,389
NATURAL,round,0.30,I,I1,Excellent,410
NATURAL,round,0.29,E,SI2,Very_Good,376
NATURAL,round,0.30,K,SI2,Excellent,385
NATURAL,round,0.22,E,SI1,Excellent,377
NATURAL,round,0.30,I,VS2,Excellent,383
NATURAL,round,0.26,E,SI2,Very_Good,351
NATURAL,round,0.30,I,I1,Very_Good,346
NATURAL,round,0.30,J,VS1,Very_Good,354
NATURAL,round,0.18,J,VVS1,Excellent,316
NATURAL,round,0.33,J,I1,Excellent,392
NATURAL,round,0.19,G,VVS1,Excellent,411
NATURAL,round,0.32,H,I1,Very_Good,412
NATURAL,round,0.30,J,IF,Excellent,389
NATURAL,round,0.31,F,I1,Excellent,377
NATURAL,princess,0.24,E,VS2,Very_Good,360
NATURAL,round,0.20,G,SI1,Excellent,338
NATURAL,round,0.35,K,VS2,Excellent,362
NATURAL,round,0.27,I,VVS2,Very_Good,390
NATURAL,round,0.32,H,SI3,Very_Good,348
NATURAL,round,0.25,F,VS1,Very_Good,371
NATURAL,round,0.30,I,VS1,Excellent,410
NATURAL,round,0.29,D,I1,Excellent,346
NATURAL,princess,0.25,E,SI2,Excellent,381
NATURAL,round,0.23,K,VS2,Excellent,374
NATURAL,round,0.30,G,I1,Excellent,392
NATURAL,round,0.26,J,VS2,Very_Good,358
NATURAL,round,0.30,K,SI2,Excellent,405
NATURAL,round,0.30,K,VVS2,Excellent,380
NATURAL,round,0.18,F,VS1,Excellent,409
NATURAL,round,0.31,J,SI1,Excellent,412
NATURAL,round,0.30,J,I1,Excellent,356
NATURAL,emerald,0.33,F,I1,Excellent,392
NATURAL,round,0.19,H,VS2,Excellent,337
NATURAL,emerald,0.31,G,VS1,Excellent,404
NATURAL,round,0.21,D,SI2,Very_Good,373
NATURAL,round,0.31,E,I1,Excellent,374
NATURAL,round,0.19,H,VVS2,Excellent,386
NATURAL,round,0.24,F,I1,Excellent,355
NATURAL,round,0.32,G,I1,Excellent,401
NATURAL,round,0.18,D,VS1,Excellent,394
NATURAL,round,0.30,J,VS1,Good,368
NATURAL,emerald,0.30,G,VVS1,Excellent,391
NATURAL,emerald,0.31,G,SI2,Excellent,362
NATURAL,round,0.30,K,SI2,Excellent,400
NATURAL,emerald,0.31,H,VVS1,Excellent,385
NATURAL,round,0.24,E,SI2,Good,345
NATURAL,round,0.18,F,VS1,Very_Good,359
NATURAL,round,0.19,F,VS1,Excellent,400
NATURAL,round,0.30,J,I1,Excellent,337
NATURAL,round,0.30,E,I1,Good,347
NATURAL,round,0.23,E,SI2,Excellent,379
NATURAL,round,0.35,J,SI2,Very_Good,367
NATURAL,emerald,0.31,H,VVS1,Excellent,385
NATURAL,round,0.30,K,VS2,Excellent,348
NATURAL,round,0.33,K,VVS1,Excellent,373
NATURAL,round,0.32,G,SI2,Very_Good,370
NATURAL,round,0.23,E,SI2,Good,342
NATURAL,emerald,0.31,G,VS2,Excellent,376
NATURAL,round,0.18,H,VVS1,Excellent,393
NATURAL,round,0.18,I,VVS1,Excellent,355
NATURAL,round,0.35,K,VVS2,Excellent,385
NATURAL,round,0.21,G,VS2,Good,347
NATURAL,round,0.30,K,SI1,Very_Good,406
NATURAL,round,0.23,I,SI1,Excellent,379
NATURAL,round,0.25,G,SI1,Very_Good,380
