diamond_code,diamond_name,shape,origin,proportions,fluorescence,symmetry,polish,cut,color,clarity,carat_weight,note,image,active
10131-8_917,0.23 CARAT D-SI2 ROUND NATURAL DIAMOND,round,NATURAL,3.88 x 3.92 x 2.45 mm,Very Strong,Very Good,Excellent,Excellent,D,SI2,0.23,Allurez,https://d2d22nphq0yz8t.cloudfront.net/35aee99d-95d9-46a2-9030-ab04199b35ba/https://images.allurez.com/gemsimages/real_diamond/large/10131-8_917.jpg,1
96860_SENT,0.18 CARAT D-SI2 ROUND NATURAL DIAMOND,round,NATURAL,3.72 x 3.7 x 2.17 mm,None,Excellent,Excellent,Excellent,D,SI2,0.18,Allurez,https://www.allurez.com/gemsimages/diamond_shapes/diamond/2018/Round/round.gif,1
BG476-262_13198,0.30 CARAT J-I1 RADIANT CUT NATURAL DIAMOND,radiant,NATURAL,4.27 x 3.50 x 2.45 mm,None,Good,Good,Excellent,J,I1,0.30,Allurez,https://www.allurez.com/gemsimages/diamond_shapes/diamond/2018/Radiant/radiant.gif,1
30912_24321,0.30 CARAT J-SI1 ROUND NATURAL DIAMOND,round,NATURAL,4.23 x 4.26 x 2.69 mm,Faint,Very Good,Very Good,Good,J,SI1,0.30,Allurez,https://www.allurez.com/gemsimages/diamond_shapes/diamond/2018/Round/round.gif,1
